testset_id,article_id,par_index,group,text_block_en,label_robin,label_marmee,notes_robin,notes_marmee,human_consensus_label,final_human_label,n_human_annotators,human_agreement
52,6327129c3dd49b919c1765c4,9,GBR,"Im Estadio Ramón Sánchez Pizjuán herrschte von Beginn an eine Wahnsinnsstimmung. Die Eintracht-Fans hatten ihr Team mit einer erneut beeindruckenden Choreographie empfangen, in den Gassen und auf den Plätzen der andalusischen Metropole verfolgten Tausende Anhänger beider Clubs das Endspiel ohne Ticket. Während der Partie berichteten spanische Medien von Auseinandersetzungen beider Fangruppen etwa drei Stunden vor dem Anpfiff. In der Arena überwog die Euphorie. ""Wir werden der Chef im Stadion sein"", hatte Eintracht-Präsident Peter Fischer angekündigt.

Und die Hessen starteten sehr engagiert in die Partie. Mit viel Risiko und scharfen Pässen spielte sich die Eintracht immer wieder an den Rangers-Strafraum – musste in der fünften Minute aber gleich einen Schockmoment überstehen. Rode blieb nach einem Foul von John Lundstram am Kopf blutend auf dem Rasen liegen und wurde mehrere Minuten behandelt. Der [Gruppe 1] hatte den Eintracht-Profi mit dem Schuhstollen an der Stirn getroffen.

Die erste Halbchance hatte Daichi Kamada, der nach einem kurzen Solo aber nicht zum Abschluss kam. Den anschließenden Schuss von Djibril Sow fing Glasgows 40 Jahre alter Torwart Allan McGregor ohne Mühe (12.). Beim Versuch von Ansgar Knauff mit dem linken Fuß hatte McGegor schon mehr Mühe (20.). Die Eintracht war zumindest in der ersten halben Stunde deutlich näher an der Führung, beim Konter über Filip Kostic schien mehr drin (32.).",NO_CRIME_FRAME,CRIME_FRAME_NEG,,,NO_HUMAN_CONSENSUS,NO_CRIME_FRAME,,
54,637cd741cd8cb379d607c8bc,7,GEO,"Noch in der Nacht konnte von den Ermittlern der Grenzpolizei ein weiterer Ladendiebstahl in einem Verbrauchermarkt in Murnau vom Samstag, 19. November 2022, den beiden Verdächtigen nachgewiesen werden. Dort waren 23 Flaschen von bislang unbekannten Tätern entwendet worden. Die Auswertung der Videoaufzeichnungen vom Verbrauchermarkt überführte die beiden Verdächtigen.

Die Weiterfahrt wurde unterbunden und ein Strafverfahren wegen Fahrens ohne Fahrerlaubnis und der Ladendiebstähle eingeleitet. Die Spirituosen wurden sichergestellt. Der 31-jährige [Gruppe 1] wurde aufgefordert das Bundesgebiet zu verlassen. kb",NO_CRIME_FRAME,CRIME_FRAME_NEG,,,NO_HUMAN_CONSENSUS,CRIME_FRAME_NEG,,
56,638d51bb8f3fa0393303ced7,2,RUS,"Krieg in der Ukraine: Ukrainische Justiz: Zunahme sexueller Gewalt durch [Gruppe 1]

Der ukrainische Generalstaatsanwalt Andrij Kostin wirft den [Gruppe 1] grausame Methoden vor.Ann Beatrice Clasmann/dpa

Der ukrainische Generalstaatsanwalt Andrij Kostin hat eine „drastische Zunahme“ sexueller Gewalt durch russische Soldaten angeprangert. Infolge des russischen Angriffskriegs gegen die Ukraine seien alle Geschlechter und Altersklassen betroffen, Kinder ebenso wie Alte, sagte Kostin der Funke Mediengruppe und der französischen Zeitung „Ouest-France“. Russische Soldaten setzten sexuelle Gewalt gezielt ein - als „Kriegsmethode, um [Andere Gruppe] und [Andere Gruppe] zu demütigen“, behauptete er.",NO_CRIME_FRAME,CRIME_FRAME_NEG,,,NO_HUMAN_CONSENSUS,NO_CRIME_FRAME,,
58,632712823dd49b919c0cb7cc,6,JUDE,"Regierungsmitglieder äußerten sich zurückhaltend kritisch zu Ben Gvirs Aktion. Seine Präsenz in der Gegend werde nicht dazu beitragen, die Gemüter zu besänftigen, sagte der Generaldirektor des Ministeriums für öffentliche Sicherheit, Tomer Lotan, im Radio. Schärfer fiel der Kommentar eines Abgeordneten der linken Partei Meretz aus, Mossi Raz: Wer ankündige, in dem palästinensischen Stadtteil Scheich Jarrah ein Büro zu eröffnen, „versucht, Feuer zu legen und einen Krieg auszulösen, wie im vergangenen Mai“, sagte er. Auch die Hamas schaltete sich in den eskalierenden Konflikt ein und rief alle Palästinenser dazu auf, sich am Kampf im Westjordanland zu beteiligen. Ein Sprecher der islamistischen Organisation, Mohammad Hamadeh, warnte, die Aggressionen der Siedler und Ben Gvirs seien ein Spiel mit dem Feuer. Ben Gvir erwiderte darauf am Sonntag, diese Ankündigungen müssten von den [Gruppe 1] „nicht mit Kapitulation, sondern mit Gewalt“ erwidert werden.

Scheich Jarrah ist seit Jahren immer wieder Schauplatz friedlicher Proteste, aber auch gewaltsamer Auseinandersetzungen. Siedlerorganisationen versuchen seit einigen Jahren vermehrt, eine Regelung zu nutzen, die es ermöglicht, Palästinenser mit rechtlichen Mitteln aus deren Häusern zu vertreiben. Die palästinensischen Bewohner waren dort nach Israels Staatsgründung angesiedelt worden, als Ostjerusalem unter jordanischer Besatzung stand. Einige der Häuser in Scheich Jarrah waren seit dem ausgehenden 19. Jahrhundert von [Gruppe 1] bewohnt worden, die den Stadtteil Schimon HaZadik nennen, nach dem Grab eines dort gelegenen jüdischen Hohepriestern aus der Zeit des Zweiten Tempels. Die Rechte von Nachfahren dieser jüdischen Bewohner werden häufig von Siedlerorganisationen wahrgenommen. Die jetzigen palästinensischen Bewohner wiederum sind zum großen Teil im Krieg von 1948 aus Gebieten geflohen, die heute israelisches Staatsgebiet sind, etwa in Westjerusalem. Eine Rückkehr dorthin wird ihnen von der israelischen Regierung verwehrt.",NO_CRIME_FRAME,CRIME_FRAME_NEG,,,NO_HUMAN_CONSENSUS,NO_CRIME_FRAME,,
59,TA-4D5BAF0B86BC9B5C5ACEC2C24F2A1D14_3916359,6,,"Der iranische Präsident Ebrahim Raisi versprach noch bei den Vereinten Nationen in New York, der Tod der jungen Frau werde unabhängig untersucht. Er betonte, es gebe Meinungsfreiheit im Iran, aber "" Akte des Chaos""  würden nicht geduldet.

Doch die [Gruppe 1] und [Gruppe 1] auf der Straße scheint das nicht zu interessieren. Abend für Abend weiten sich die Proteste aus und sind zu einer gefährlichen Herausforderung für die iranische Führung geworden. Um das Kopftuch geht es längst nicht mehr.

Die Demonstranten reißen Bilder des religiösen Oberhaupts, Ajatollah Ali Chamenei, von der Wand und rufen "" Tod dem Diktator"" . Mülltonnen und Polizeiautos gehen in Flammen auf, es wird scharf geschossen. Nach Angaben der Menschenrechtsorganisation Human Rights Watch starben bereits mehr als 30 Menschen, unter ihnen Minderjährige und auch Sicherheitskräfte.",NO_CRIME_FRAME,CRIME_FRAME_NEG,,,NO_HUMAN_CONSENSUS,NO_CRIME_FRAME,,
60,632712953dd49b919c14afec,9,ITA,"„Den Innenminister habe ich schon ein Jährchen gemacht – wenn ihr uns eure Stimme gebt, dann werden wir wieder unsere Grenzen verteidigen und unsere Städte sicher machen“, erklärt Salvini bei jedem seiner Wahlauftritte. „Zero clandestini“ („null [Andere Gruppe] ohne gültige Papiere“) lautet sein Versprechen – und er vergisst dabei, dass die Zahl der „clandestini“ während seiner Zeit als Innenminister massiv zugenommen hatte. Mit den von Salvini durchgesetzten sogenannten Sicherheitsdekreten, die den Aufenthaltstitel der humanitären Aufnahme abgeschafft hatten, wurden Zehntausende [Andere Gruppe], die vorher ein Bleiberecht und damit auch eine Arbeitsbewilligung hatten, von einem Tag auf den anderen wieder in die Illegalität getrieben.

Doch das haben die meisten Wählerinnen und Wähler längst vergessen - und so wird die Immigration, die unter Draghi kein Thema war, bereits wieder zum Wahlkampfschlager Nummer eins. Salvini wird am Donnerstag oder Freitag nach Lampedusa fahren: Der südlichste Punkt der EU, wo jedes Jahr tausende Bootsflüchtlinge ankommen, scheint ihm der ideale Ort für seine Propaganda. „Mit sechs Millionen [Gruppe 1], die in Armut leben, können wir es uns nicht leisten, tausende ankommende [Andere Gruppe] von morgens bis abends zu unterhalten“, erklärt Salvini.

Rechtsextreme Meloni wird als Premierministerin gehandelt",NO_CRIME_FRAME,CRIME_FRAME_NEG,,,NO_HUMAN_CONSENSUS,NO_CRIME_FRAME,,
61,WAZ-76DAF8CECF6BA0F3932406CFF5C69134_3166504,2,NLD,"Sprengattacken auf Geldautomaten verfünffacht.  Ich frage mich: Ist es nötig, rund um die Uhr Zugang zu Bargeld zu haben? Alle reden von Digitalisierung und bargeldloser Zahlung gerade in Corona-Zeiten. Warum begrenzt man nicht den zeitlichen Zugang zu Bargeldautomaten? In Düsseldorf [...] kannte ich z.B. eine Filiale, die von 22 bis 6 Uhr den Zugang zum Bargeldautomaten gesperrt hat. [...] Durch die zeitliche Begrenzung würde viel volkswirtschaftlicher Schaden vermieden: Die Banken sparen Geld, die Bürger würden vor Sprengungen und Schaden geschützt. Wann endlich erfolgt hier ein Umdenken und Einlenken bei den Banken? Jens Schmitt,  BO

Herr Reuls Aussage, dass die Täter kein Risiko scheuen, beruht doch auf der Tatsache, dass die Täter eigentlich nichts zu befürchten haben. Sie kommen, sprengen und verschwinden, ohne Risiko. [...] Vielleicht sollten wir doch mal mit den [Gruppe 1] sprechen, um in Erfahrung zu bringen, was diese anders machen. Dort gibt es seit geraumer Zeit so gut wie keine Sprengungen mehr. Wie ist das bloß möglich? Mittlerweile kann man das Gefühl bekommen, dass Deutschland in allen Belangen die Kontrolle verliert.

Axel Rosenbusch, Duisburg",CRIME_FRAME_POS,CRIME_FRAME_NEG,,,NO_HUMAN_CONSENSUS,NO_CRIME_FRAME,,
62,6327128a3dd49b919c100440,10,MIGR,"Zwar wollen viele [Gruppe 1] in die USA, andere Länder haben aber eine ungleich größere Last zu tragen. Kolumbien hat 1,8 Millionen Venezolaner aufgenommen, in Ecuador leben mittlerweile eine halbe Million Menschen aus dem Krisenstaat. In Mexiko stellten im vergangenen Jahr 131.000 Menschen einen Asylantrag, 220 Prozent mehr als im Vorjahr. Damit ist Mexiko weltweit das Land mit den drittmeisten [Andere Gruppe].

Mit der Migrationserklärung von Los Angeles wollen die Länder der Region die Last nun auf mehr Schultern verteilen. Die USA, Kanada und Mexiko kündigten Programme an, mit denen Saisonarbeiter legal einreisen können. Die Vereinigten Staaten versprachen, 20.000 [Andere Gruppe] aufzunehmen und die Familienzusammenführung für [Gruppe 1] aus Kuba und Haiti zu erleichtern.

Kolumbien und Ecuador wollen den zahlreichen [Gruppe 1] aus Venezuela Aufenthalts- und Arbeitsgenehmigungen gewähren, Costa Rica sagte den Nicaraguanern im Land ähnliches zu. Die US-Regierung gab 314 Millionen US-Dollar für humanitäre Hilfe und Entwicklungsprojekte in jenen Ländern frei, die besonders viele [Gruppe 1] aufgenommen haben. Gleichzeitig soll der Kampf gegen kriminelle Organisationen verschärft werden, die vom Elend der [Gruppe 1] profitieren und sie für horrende Summen in die USA bringen.",CRIME_FRAME_NEG,NO_CRIME_FRAME,,,NO_HUMAN_CONSENSUS,CRIME_FRAME_NEG,,
63,632712843dd49b919c0d7502,7,JUDE,"""Konferenz mit anschließendem Frühstück""

Ins damalige Gästehaus der Sicherheitspolizei und des Sicherheitsdienstes (SD), die ehemalige Villa Marlier, hatte Reinhard Heydrich (Philipp Hochmair), Chef der Sicherheitspolizei und des SD, 14 weitere Männer samt Protokollantin Ingeburg Werlemann (Lilli Fichtner) eingeladen. An Heydrichs Seite saß Adolf Eichmann (Johannes Allmayer), sein Leiter der Abteilung Judenangelegenheiten / Räumungsangelegenheiten im Reichssicherheitshauptamt. Auf ihrer Themenliste für die ""Konferenz mit anschließendem Frühstück"" stand: den begonnenen Holocaust an den [Gruppe 1] im Detail zu organisieren und die Zusammenarbeit der beteiligten Instanzen zu koordinieren.

Die anderen Herren der Runde, von denen acht einen akademischen Doktortitel trugen, waren Vertreter der SS, der NSDAP sowie der Ministerialbürokratie. Verkörpert werden sie in ""Die Wannseekonferenz"" von mitunter bekannten Schauspielern wie Godehard Giese, Maximilian Brückner, Simon Schwarz und Thomas Loibl.",NO_CRIME_FRAME,CRIME_FRAME_NEG,,,NO_HUMAN_CONSENSUS,NO_CRIME_FRAME,,
64,WAZ-7244651F23EA81EA442E036784DD4332_4074813,25,UKR,"Nach Beginn des Krieges sind viele [Andere Gruppe] mit Autokorsos durch deutsche Städte gefahren und haben den Überfall auf die Ukraine bejubelt. Diese Leute sind sehr stolz auf diesen Krieg, und viele von ihnen sind deutsche Staatsbürger. Das ist ein Problem, mit dem sich die Bundesregierung befassen muss. Je mehr Leute nach Deutschland kommen und diesen genozidalen Krieg unterstützen, desto größer wird das Sicherheitsrisiko.

Fürchten Sie Anschläge auf [Gruppe 1] und [Gruppe 1]

Es hat schon Brandanschläge auf Unterkünfte für [Andere Gruppe] [Gruppe 1] gegeben. Wir warten auf die Ergebnisse der Untersuchung. Es muss schnell geklärt werden, wer dahintersteckt. Und ich hoffe sehr, dass niemand auf die Idee kommt, [Andere Gruppe] in denselben Flüchtlingsheimen unterzubringen wie [Gruppe 1]. Die Gefahr, dass Menschen zu Schaden kommen, die gerade dem Krieg entkommen sind, wäre einfach zu groß.",NO_CRIME_FRAME,CRIME_FRAME_POS,,,NO_HUMAN_CONSENSUS,NO_CRIME_FRAME,,
70,632712733dd49b919c06b595,3,AFG,"Der Mann am späten Sonntagnachmittag in seiner Wohnung im Obergeschoss eines Plattenbaus am Unterhorstweg randaliert. Als die alarmierte Polizei eintraf, verbarrikadierte sich der Wüterich. Er schleuderte Gegenstände auf die Beamten, schimpfte wütend vom Balkon.

Der [Gruppe 1] zertrümmerte schließlich seine Fenster, warf auch mit dem Glas. Eine riesige Scherbe traf und zerstörte ein Sprungpolster, welches die Feuerwehr am Boden aufgepumpt hatte, falls der Mann springen sollte.

Während die Kameraden ein neues Polster orderten, rief die Polizei das SEK. Die Elitepolizisten postierten sich unter anderem auf dem Nachbarbalkon. Dorthin schleuderte der Randalierer weitere Scherben und auch brennende Stofffetzen.",NO_CRIME_FRAME,CRIME_FRAME_NEG,,,NO_HUMAN_CONSENSUS,NO_CRIME_FRAME,,
71,SZ_added_86c33a8dafe7b84ba1ae1c9e522aed5cf64b719a_,2,REFUG,"Angesichts der hohen Flüchtlingszahlen will die grün-schwarze Koalition auch in den kommenden zwei Jahren die 1165 Stellen für Integrations-Lehrkräfte...

Stuttgart (dpa/lsw) - Angesichts der hohen Flüchtlingszahlen will die grün-schwarze Koalition auch in den kommenden zwei Jahren die 1165 Stellen für Integrations-Lehrkräfte weiterfinanzieren. Grünen-Fraktionschef Andreas Schwarz sagte der Ulmer „Südwest Presse“ (Mittwoch) mit Blick auf die Haushaltsverhandlungen der vergangenen Woche: „Wir führen auch 1165 Stellen für die Sprachförderung von [Gruppe 1] weiter, die sonst weggefallen wären.“ Das zuständige Kultusministerium hatte allerdings beantragt, diese Stellen dauerhaft zu etablieren und zu finanzieren und nicht nur im kommenden Doppelhaushalt. Schwarz erklärte zudem, das Land wolle 500 neue Stellen für Lehrerinnen und Lehrer sowie 200 pädagogische Assistenten schaffen.",CRIME_FRAME_NEG,NO_CRIME_FRAME,,,NO_HUMAN_CONSENSUS,NO_CRIME_FRAME,,
72,632712893dd49b919c0fcab8,12,UKR,"„Was passiert dann? Ein Kolonne wird gestoppt. Ein ungeduldiger General am Ende der Kolonne ist in seinem Panzer oder was auch immer für ein Fahrzeug. Er geht nach vorne, um zu schauen, was passiert ist.“ Dieses mutmaßliche Phänomen begründete Petraeus mit den russischen Kommandostrukturen. Es gebe weder ein Unteroffizierskorps, noch Sinn für Eigeninitiative in den unteren Rängen. Die Soldaten warteten auf Order.

In der Folge begäben sich auch Generäle an die Spitze der Kolonne. „Und die [Gruppe 1] haben sehr sehr gute Scharfschützen und haben sie einfach links und rechts abgeschossen.“ *Merkur.de ist ein Angebot von IPPEN.MEDIA",CRIME_FRAME_POS,CRIME_FRAME_NEG,,,NO_HUMAN_CONSENSUS,CRIME_FRAME_NEG,,
