group,pub,label,text_block
FRA,FAZ,NOT_SECURITY_CRIME,"Indonesien muss sich stärken, weil Peking es unter Druck setzt. Nun schließt Paris große Rüstungsverträge mit der großen Demokratie.

che./niza. Singapur/Paris · Indonesien setzt auf französische Waffen. Die drittgrößte Demokratie der Erde kauft zunächst sechs, später weitere 36 Kampfflugzeuge vom Typ Rafale. Zudem will die indonesische Marine zwei Scorpène-Unterseeboote von der französischen Staatswerft Naval Group bestellen. Beide sollen in Indonesien gebaut werden, was einen interessanten Technologietransfer für die [Andere Gruppe] erlaubte. Für die [Gruppe 1] sind die Abkommen ein Erfolg, nachdem Aus­tralien nach jahrelanger Zusammenarbeit Naval über Nacht als Lieferanten für zwölf Unterseeboote durch [Andere Gruppe] und [Andere Gruppe] abgelöst hatte. Immer öfter bekommen auch die [Andere Gruppe] das Vordringen Pekings im indopazifischen Raum zu spüren. Der amerikanische Außenminister Antony Blinken warnte am Donnerstag in Australien: „China will die Welt dominieren.“

Indonesien ist die zweite Nation in der indopazifischen Region, die auf den Rafale setzt; auch Indien hat nach langem Tauziehen einen stark abgespeckten Vertrag mit dem Hersteller Dassault Aviation über die Lieferung von 36 Flugzeugen geschlossen. Die letzten beiden Maschinen sollen im April eingeflogen werden. Frankreich und Indien eingeschlossen, ist Indonesien nunmehr der achte Staat, der auf den Kampfjet setzt. Hinzu kommen Griechenland, Kroatien, Ägypten, Katar und die Vereinigten Arabischen Emirate."
UKR,MAZ,NOT_SECURITY_CRIME,"Selenskyj, der kürzlich vom ""Time""-Magazin zur ""Person of the Year"" gewählt wurde, steht dabei symbolisch für den Kampf der [Gruppe 1] um ihre Freiheit. In den vergangenen zehn Monaten schafften die Streitkräfte es, die zuvor übermächtig erscheinende russische Armee nach ihrem Einmarsch zunächst bei Kiew und dann im Osten des Landes zurückzuschlagen. Ohne die [Andere Gruppe] aber, das betont Selenskyj im Weißen Haus neben Präsident Biden, wäre dies unmöglich gewesen.

Doch vor dem Kongress macht Selenskyj klar, dass es sich bei den knapp 22 Milliarden Dollar an US-Militärhilfe nicht um Almosen handele. Kiew sei das Bollwerk gegen Russland - es sei nur eine Frage der Zeit, bis Russland auch Verbündete der USA angreife, warnte der [Gruppe 1]. Waffen, Training und Geheimdienstinformationen stärkten Selenskyjs Kämpfer auf allen Ebenen. Sie sind weiter angewiesen auf die US-Hilfe. Vor allem deshalb ist der ukrainische Präsident erstmals seit Kriegsbeginn ins Ausland geflogen.

Selenskyj wird das Zitat zugeschrieben, er ""brauche Munition, keine Mitfahrgelegenheit"". Das war zu Beginn des Krieges, als die USA ihn aus Kiew in Sicherheit bringen wollten, der 44-Jährige sich aber weigerte und den Widerstand antrieb. Zehn Monate später wird er dafür auch in den USA als Held gefeiert - und für die Visite in Washington nahm er dann tatsächlich eine US-Regierungsmaschine."
EU,MAZ,NOT_SECURITY_CRIME,"Zwar hat sich die Runde der 27 am Vorabend bereits darauf verständigt, einen ""Solidaritäts-Treuhandfonds für die Ukraine zu entwickeln"" und dafür ""unverzüglich mit den Vorbereitungen zu beginnen"". Die EU-Kommission möge der Ukraine deshalb technische Unterstützung geben bei der ""Umsetzung der notwendigen Reformen"". Doch sehr konkret klingt das nicht. Der ukrainische Präsident Wolodymyr Selenskyj hatte zuvor per Video-Schalte im Nato-Teil der Gipfeltreffen sehr konkret um ein Prozent der Panzer und ein Prozent der Kampfjets der Nato-Mitglieder gebeten, um sein Land selbst verteidigen zu können, wenn es die Nato eben ablehnt, eine Flugverbotszone zum Schutz der Menschen vor Bombardierungen aufzubauen. Doch die Angesprochenen sagen lediglich zu, weitere Waffen zu liefern und zu prüfen, ob dazu auch Schiffsabwehrraketen hinzukommen können. Panzer und Jets gibt es jedenfalls erst einmal nicht.

Relativ problemlos geben die Gipfelteilnehmer am Freitag grünes Licht für den neuen ""strategischen Kompass"". Sie verpflichten sich damit dazu, mehr Geld in die Verteidigung zu stecken und eine 5000 Soldatinnen und Soldaten starke schnelle Eingreiftruppe zu stellen, um das Gewicht Europas bei der Verteidigung Europas zu vergrößern, sich nicht nur auf transatlantischen Beistand zu verlassen. So hatte es Biden zuvor auch schon bei der verstärkten Nato-Präsenz in den osteuropäischen Nato-Mitgliedsländern durchblicken lassen. Kurzfristig mehr Waffen und Truppen nach Osten, um die Abschreckung glaubwürdiger zu machen - ja. Aber eine Verlegung auf Dauer - nein. Da sieht er die [Gruppe 1] zuerst in der Pflicht. EU-Außenbeauftragter Josep Borrell ist mit dem Kompass-Beschluss erst einmal sehr zufrieden. Damit bekämen die [Gruppe 1] ""mehr Sicherheit"" und die Streitkräfte der EU-Staaten ""mehr Fähigkeiten"".

Gemessen an den gewichtigsten Gipfelthemen bedeutet das Kompass-Thema für die Staats- und Regierungschefs im Gipfel-Marathon fast schon so etwas wie Zeit für kurzfristige Entspannung. Denn da baut sich am Horizont mit dem Thema ""Energie"" längst immer höher eine Wand aus Widersprüchen auf. Auf eine Formel können sie sich schnell verständigen: ""So schnell wie möglich"" wollen sie die Abhängigkeit von russischer Kohle, russischem Öl und russischem Gas beenden. Die daraus folgenden Belastungen sollen sowohl für die Verbraucher als auch für die Staatshaushalte ""so niedrig wie möglich"" sein."
REFUG,MAZ,NOT_SECURITY_CRIME,"Ein Ort in Alzey, der wie kaum ein anderer mit Norbert Günther verknüpft ist, ist die Turnhalle in der Bleichstraße. 1989 versorgte das DRK hier 80 Personen aus der DDR. 2015 zur Zeit der Flüchtlingskatastrophe dann die Menschen aus Syrien. Und 2022 hatte man diesen Ort auch im Blick, als noch nicht abzusehen war, wie viele Menschen aus der Ukraine vor dem Krieg nach Alzey flüchten werden. Schnelle Hilfe, wo sie gebraucht wird, lautet das Credo Günthers. Das galt für das Elbhochwasser 2002, das galt aber auch bei Einsätzen in Rumänien und Wolgograd oder Armenien Ende der 80er und Anfang der 90er-Jahre. Doch es gilt auch vor der Haustür des Kreisverbands mit Sitz in der Albiger Straße. Evakuierungen bei Bombenentschärfungen in Koblenz und Ludwigshafen oder Kakerlaken-Plage in einer Unterkunft für [Gruppe 1] in Bechtolsheim - Norbert Günther und seine Mannschaft waren zur Stelle.

Auch im Jahr 2015, als aus dem ehemaligen Schlecker-Lager in kurzer Zeit eine Erstaufnahmeeinrichtung für [Gruppe 1] wurde, die dann aber nie an den Start ging. Kurz vorher wurde das Projekt von höherer Stelle abgesagt. Eine Erfahrung, die Günther bis heute nachgeht.

Welche schlagfertige Truppe unter Günther entstand, haben nicht zuletzt die jüngsten zwei Jahre gezeigt. Testkapazitäten wurden in kurzer Zeit auf die Beine gestellt, um der Ausbreitung des Coronavirus Einhalt zu gebieten; mit der Kreisverwaltung das Impfzentrum aufgebaut. Und nach der Flutkatastrophe im Ahrtal vor fast genau einem Jahr versorgten die Rotkreuzler aus Alzey Bewohner und Helfer mit bis zu 6000 Mahlzeiten am Tag über mehrere Wochen. Die zerstörten Impfstraßen im Kreis Ahrweiler - kurzfristig ausgetauscht durch das rollende Impfzentrum aus Alzey. Die Devise bei all diesen Einsätzen: Erst helfen. Dann der Papierkram rund um Kostenübernahme und Co."
USA,WAZ,NOT_SECURITY_CRIME,"Bei der Pressekonferenz löste Biden dann ein Versprechen ein, das schon seit Monaten auf der Wunschliste seines Gastes gestanden hatte: Als Teil eines weiteren Hilfspakets im Wert von 1,85 Milliarden Dollar würden die USA ein Patriot-Flugabwehrsystem liefern, das einen bedeutenden Beitrag leisten soll, um russische Luftangriffe zu neutralisieren. Vor allem dann, wenn Russlands Präsident Wladimir Putin sich irgendwann entscheiden sollte, Kiew zu attackieren, und das ist nach Ansicht von US-Militärexperten nur eine Frage der Zeit.

Am Abend dann der mit Spannung erwartete Höhepunkt des vorweihnachtlichen Blitzbesuchs: Selenskyjs Rede vor beiden Kammern des US-Kongresses. 24 Minuten lang richtete er einen leidenschaftlichen Appell nicht nur an jene Politiker, von denen er sich mehr Geld und Waffen erhoffte, sondern an alle [Gruppe 1]. "" Ich hoffe, dass meine Worte von Dankbarkeit und Respekt in jedem amerikanischen Herzen eine Resonanz finden""  sagte Selenskyj. Er erinnerte an das bevorstehende Weihnachtsfest, bei dem Millionen seiner Landsleute ohne Strom, Heizung oder warmes Wasser sein würden, den Kampf aber nicht aufgeben und trotzdem feiern würden.

Seine Vergangenheit als Schauspieler war Selenskyj bei dem geschickten Versuch anzumerken, emotionale Beschreibungen von Leid und Elend mit politischen Forderungen an sein Publikum zu verbinden. Schließlich seien die USA selbst das leuchtende Beispiel eines Landes, das niemals den Kampf aufgegeben habe und heute als angesehene Demokratie dastehe. Selenskyj zog Parallelen zum Kampf gegen die Nazis und selbst zur Schlacht von Saratoga, die während des US-Unabhängigkeitskrieges als Wendepunkt im Kampf gegen die britische Kolonialmacht galt."
ITA,Berliner Zeitung,NOT_SECURITY_CRIME,"Italien schickt vier weitere Kampfflugzeuge nach Rumänien

Italien schickt vier weitere Kampfflugzeuge zur Stärkung der Nato-Südostflanke nach Rumänien. Das kündigte Verteidigungsminister Lorenzo Guerini am Samstag in [Andere Gruppe] an. Bislang hatten die [Gruppe 1] auf dem Militärflughafen Mihail Kogalniceanu bei Constanta bereits vier Eurofighter stationiert, von Sonntag an kommen vier weitere dazu. Seit Dezember ist innerhalb der Nato die italienische Luftwaffe für die Luftraumüberwachung in der Region verantwortlich („Southern Air Policing“).

Belgien will Waffen und Kraftstoff an die Ukraine liefern"
RUS,MAZ,NOT_SECURITY_CRIME,"Der Bundeskanzler bezeichnet Debatten über die deutsche Militärhilfe und Ängste vor einer dadurch ausgelösten Ausweitung des Krieges aber als legitim. Zugleich gelte: ""Angst darf uns nicht lähmen."" Deutschland und die Nato verteidigten Recht und Freiheit an der Seite der Angegriffenen. ""Wir unterstützen die Ukraine im Kampf gegen den Aggressor. Das nicht zu tun, hieße zu kapitulieren vor blanker Gewalt - und den Aggressor zu bestärken."" Der Kanzler nennt vier Grundsätze, an denen sich die deutsche Politik orientiere: So werde es keine deutschen Alleingänge geben; alles werde ""auf das Engste"" mit den Bündnispartnern abgestimmt. Keinesfalls auch dürfe die Nato Kriegspartei werden. Darüber hinaus achte Deutschland darauf, seine eigene Verteidigungsfähigkeit zu erhalten. Deshalb werde auch die Bundeswehr besser ausgestattet. Außerdem werde Deutschland nichts unternehmen, was dem Land und den Partnern mehr schade als Russland. Es ist auch ein Verweis auf die zurückhaltende Energie-Embargo-Politik der deutschen Regierung.

Scholz erinnert auch daran, dass [Gruppe 1] und [Andere Gruppe] im Zweiten Weltkrieg gemeinsam kämpften, um den Nationalsozialismus niederzuringen. Nun jedoch wolle Russlands Präsident Wladimir Putin die Ukraine unterwerfen, ""ihre Kultur und ihre Identität vernichten"". Dass Putin dies selbst mit dem Kampf gegen die Nazis vergleicht, nennt Scholz ""geschichtsverfälschend und infam"".

Der Regierungschef verweist in seiner TV-Ansprache auch auf die Sanktionen gegen Russland, die Aufnahme ukrainischer [Andere Gruppe] und die Waffenlieferungen, um die Ukraine zu unterstützen. Zugleich geht Scholz auf die Sorge ein, der Krieg Russlands gegen die Ukraine könne sich auf andere Länder ausweiten. ""Es wäre falsch, das einfach abzutun. Solche Sorgen müssen ausgesprochen werden können."" Gleichzeitig gelte aber: ""Angst darf uns nicht lähmen."" Dabei wiederholt der Bundeskanzler aber auch den Grundsatz, dass es keine Entscheidungen geben werde, welche die Nato selbst zur Kriegspartei machen würden."" Damit verteidigt der SPD-Politiker seine Linie, bei der Unterstützung der Ukraine ""nicht einfach alles, was der eine oder die andere gerade fordert"", zu tun."
ISR,KN,NOT_SECURITY_CRIME,"Bald bei der Bundeswehr? Israels Luftabwehrsystem Arrow 3 kann Geschosse im Weltraum abfangen.

Foto: [Gruppe 1] Ministry Of Defense/dpa

"
UKR,OSZ,NOT_SECURITY_CRIME,"Deutschland liefert nach Angaben von Außenministerin Annalena Baerbock derzeit weitere Luftabwehrraketen vom Typ Strela an die Ukraine. "" Die weiteren Strela-Lieferungen sind auf dem Weg"" , sagte die Grünen-Politikerin gestern im Bundestag. Die Ukra­i­ne hat bisher von Deutschland 500 Strela-Luftabwehrraketen erhalten. Ursprünglich war von bis zu 2700 die Rede. Baerbock betonte nun: "" Wir sind einer der größten Waffenlieferer in dieser Situation. Das ist nichts, was uns stolz macht, sondern das ist das, was wir jetzt tun müssen, um der Ukraine zu helfen."" Die "" Bild"" -Zeitung hatte zuvor gemeldet, Deutschland wolle nun doch fast alle der Anfang März in Aussicht gestellten 2700 Strela-Systeme an die Ukraine liefern. Darauf habe sich der Bundessicherheitsrat verständigt, meldete das Blatt unter Berufung auf informierte Kreise.

Aus den Reihen der Union wurde der Ampelkoalition vorgeworfen, der Ukraine nicht ausreichend zu helfen. "" Die [Gruppe 1] möchten sich hier widersetzen und Widerstand leisten. Wir sollten sie nicht alleine lassen"" , mahnte der CDU-Europapolitiker Gunther Krichbaum. Wenn die Bundeswehr jetzt nichts mehr in ihren Beständen zum Abgeben haben sollte, könnte die deutsche Rüstungsindustrie neue Waffen liefern. Baerbock verteidigte ihren Ansatz einer feministischen Außenpolitik gegen Kritik aus der Union. Eine feministische Sichtweise gehöre zu einer Sicherheitspolitik des 21. Jahrhunderts dazu: "" Das ist kein Gedöns, sondern das ist auf der Höhe dieser Zeit."" 

"
EU,MAZ,NOT_SECURITY_CRIME,"

Der historische Moment rückt immer näher. An diesem Mittwoch wollen Schweden und Finnland nach Jahrzehnten der Neutralität ihre Mitgliedsanträge bei der Nato einreichen. Schon Ende des Jahres könnten die beiden skandinavischen Länder dem Bündnis angehören. Oder macht die Türkei der Nato-Norderweiterung tatsächlich doch noch einen Strich durch die Rechnung? Präsident Recep Tayyip Erdogan wird letztlich zustimmen - die Frage lautet aber eben: Gegen welchen Preis? Erdogan will die Gunst der Stunde nutzen, ein Jahr vor den Präsidentenwahlen in der Türkei Bonuspunkte sammeln. Europa und den USA stehen in kürzester Zeit schwierige Verhandlungen bevor. Denn eins ist klar: Sie dürfen keine Zeit verlieren. Mit dem Nato-Beitritt von Schweden und Finnland gewinnen Wladimir Putins Kontrahenten enorm an Stärke. Der russische Präsident hatte auf eine Spaltung der Nato gehofft, nun aber demonstrieren alle Beteiligten Einigkeit. Das schmerzt Putin - auch wenn die Reaktionen aus dem Kreml derzeit gelassen ausfallen. Und gerade das unterstreicht die russischen Sorgen. Putin wirkt geschwächt, wohlwissend, dass sein Traum von einem großrussischen Reich immer mehr schwindet. Das macht den Kreml-Chef allerdings gleichzeitig umso gefährlicher. Wir [Gruppe 1] werden in vielerlei Hinsicht vom Nato-Beitritt der Schweden und Finnen profitieren. Die nordischen Länder kennen sich bestens mit Themen wie Cyberabwehr aus, sind militärisch in der Luft, auf dem Wasser sowie zu Land sehr gut aufgestellt. Das gibt mehr Sicherheit. Ein schnelleres Ende des Blutvergießens in der Ukraine wird jedoch nicht die Folge sein.

"
